id,story_id,title,ordering,media,memo_text,media_type
33,6,NULL,2,img/Ruth-B-portrait.jpg,Portrait of Ruth Buchanan,I
34,6,NULL,3,img/Ruth-records.jpg,Aunt Ruth with her correspondence records.,I
35,6,NULL,4,img/Ruth-garden.jpg,"Aunt Ruth walking in the garden, wearing her Emblem of Honor pin.",I
36,6,NULL,5,img/Navy-Mothers-pin.jpg,"Though she had no children of her own, she was proud to wear the Navy Mothers' Club pin over her heart.",I
37,6,NULL,6,img/Ruth-president.jpg,"Aunt Ruth, shown here with U-M President Alexander Ruthven and U.S. Military officers.",I
38,6,NULL,7,img/Ruth-news.jpg,A Detroit News clipping describing Ruth Buchanan's wartime correspondence.,I
39,6,Read More,8,http://staffstories.umich.edu/becoming-aunt-ruth/,"Night after night during World War II, Ruth Buchanan would leave her workplace at the University of Michigan and return home to her second job...",U
40,7,NULL,1,img/Power-Plant-workers-1917.jpg,"This 1917 photo shows the Central Power Plant staff in the boiler room, with a pile of bituminous coal in the foreground.",I
41,7,NULL,2,img/Chris-Stoll-Chief-Boiler-Rat.jpg,"Chris Stoll, “Chief Boiler Rat,” portrait circa 1917.",I
42,7,NULL,3,img/Maulbetsch-family.jpg,"The Maulbetsch family. Barney Maulbetsch was one of the ""boiler rats"" shown in the 1917 group photo (top).",I
43,7,NULL,4,img/Steam-tunnel-contruction-1914.jpg,"An elaborate network of tunnels dug by day laborers in the early 1900s is still in use today, conveying steam heat to campus buildings.",I
44,7,NULL,5,img/UM-Power-House-with-Medical-Building-in-rear.jpg,Central Power House and Medical School,I
45,7,NULL,6,img/UofM-coal-engine-number-2.jpg,Coal was supplied to the plant via a small electric train on tracks that are now covered by streets and new buildings on the medical campus.,I
46,7,NULL,7,img/1955-U-M-Train.jpg,"1955 photo shows Russell Hurst, driving the coal train. Hurst was the last engineer to serve the University of Michigan Railroad. (Photo courtesy of Robert Hurst.)",I
47,7,NULL,8,img/Lee-Curtis-head-boiler-operator-1969.jpg,"Lee Curtis, head boiler operator, in heating plant control room, 1969.",I
48,7,NULL,9,img/North-stack.jpg,The Central Power Plant’s iconic 250-foot North Stack chimney was added in 1924.,I
49,7,NULL,10,img/View-from-Huron-river.gif,Vintage photo taken from north side of the Huron River shows U-M hospital with the stack of the Central Power Plant dominating above the campus.,I
50,7,NULL,11,img/Central-Power-Plant-Operations-Staff-2012.jpg,2012 Central Power Plant Operations staff,I
51,7,Read More,12,http://staffstories.umich.edu/pride-of-place-power-to-the-people/,"When the University of Michigan moved from its original location in Detroit to its “new” home in Ann Arbor in 1837, construction of the U-M’s first campus buildings began. The first university buildings were erected in 1840. During the late 1800’s three separate heating plants were built to provide heat to the new campus buildings. In 1897, the first electrical generating units were installed as gas illumination began to be replaced by electricity....",U
52,8,NULL,1,img/Old-Main-Hospital-demolition.jpg,Two images from a contact sheet showing the demolition of Old Main. Bentley Historical Library photo.,I
53,8,NULL,2,img/Old-Main-Bentley-Historical-Library.jpg,Aerial view of Old Main. Bentley Historical Library photo.,I
54,8,NULL,3,img/Peanut-Butter-Soup.jpg,Peanut Butter Soup Recipe,I
55,8,Read More,4,http://staffstories.umich.edu/bringing-down-old-main-a-once-in-a-lifetime-experience/,Does anyone remember the peanut butter soup? Probably not—I’m not sure it was a hit ... I think the most memorable experience for me was witnessing the bringing down of Old Main Hospital...,U
56,9,NULL,1,img/1955-U-M-Train.jpg,Russell Hurst was the last engineer to serve the University of Michigan Railroad. (Photo courtesy of Robert Hurst.),I
57,9,NULL,2,img/coal-car.jpg,University of Michigan Railroad engine pulling a coal car. Photo courtesy of Dr. Mark Hildebrandt.,I
58,9,NULL,3,img/UM-coal-train.jpg,The maize and blue engine pulling the hopper car. Photo courtesy of Dr. Mark Hildebrandt.,I
59,9,Read More,4,http://staffstories.umich.edu/the-last-engineer/,"During the preparations for his memorial service and throughout the months of reflection that followed, I realized that one of my most cherished memories is of working with my father in the late 1950s on the now-defunct University of Michigan Railroad...",U
60,10,NULL,1,img/Gregor-Nagele.jpg,Gregor Nagele,I
61,10,NULL,2,img/Doc-Gregor-Nagele.jpg,Doc Gregor Nagele. Courtesy of Bentley Historical Library.,I
62,10,Read More,3,http://staffstories.umich.edu/gregor-doc-nagele-anatomist-bell-ringer-and-janitor/,"When Gregor Nagele emigrated to the United States from Wittenberg, Germany, a young, bright-eyed, uneducated teenager, he came with a peculiar and valuable skill—commandeering cadavers. The medical students needed “subjects” on which to practice their surgical skills, and Gregor Nagele knew how to get them...",U
